Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
1,0.017,-4.9916,5,0.75,0.5033,0.2,0.0,0.0,0.0,0.0,1.0067,0.04000000000000001,0.0084,0.0,0.2533,14.715,14.9683,BEFORE
2,0.033,-4.9832,5,0.75,0.5067,0.2327,0.21250000000000435,0.21250000000000435,0.04250000000000087,0.04250000000000087,1.0133,0.04654,0.0168,0.0,0.2567,14.715,14.9717,BEFORE
3,0.05,-4.9747,5,0.75,0.51,0.2653,0.19411764705882173,0.19411764705882173,0.03882352941176435,0.03882352941176435,1.02,0.053059999999999996,0.0253,0.0,0.2601,14.715,14.9751,BEFORE
4,0.067,-4.9661,5,0.75,0.5133,0.298,0.19411764705882173,0.19411764705882173,0.03882352941176435,0.03882352941176435,1.0267,0.0596,0.0339,0.0,0.2635,14.715,14.9785,BEFORE
5,0.083,-4.9575,5,0.75,0.5167,0.3306,0.21250000000000435,0.21250000000000435,0.04250000000000087,0.04250000000000087,1.0333,0.06612,0.0425,0.0,0.2669,14.715,14.9819,BEFORE
6,0.1,-4.9488,5,0.75,0.52,0.3633,0.19411764705882173,0.19411764705882173,0.03882352941176435,0.03882352941176435,1.04,0.07266,0.0512,0.0,0.2704,14.715,14.9854,BEFORE
7,0.117,-4.9401,5,0.75,0.5233,0.3959,0.19411764705882173,0.19411764705882173,0.03882352941176435,0.03882352941176435,1.0467,0.07918,0.0599,0.0,0.2739,14.715,14.9889,BEFORE
8,0.133,-4.9313,5,0.75,0.5267,0.4286,0.2124999999999974,0.2124999999999974,0.04249999999999948,0.04249999999999948,1.0533,0.08572,0.0687,0.0,0.2774,14.715,14.9924,BEFORE
9,0.15,-4.9225,5,0.75,0.53,0.4612,0.19411764705882842,0.19411764705882842,0.038823529411765687,0.038823529411765687,1.06,0.09224,0.0775,0.0,0.2809,14.715,14.9959,BEFORE
10,0.167,-4.9136,5,0.75,0.5333,0.4939,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.0667,0.09878,0.0864,0.0,0.2844,14.715,14.9994,BEFORE
11,0.183,-4.9047,5,0.75,0.5367,0.5265,0.21249999999999758,0.21249999999999758,0.04249999999999952,0.04249999999999952,1.0733,0.1053,0.0953,0.0,0.288,14.715,15.003,BEFORE
12,0.2,-4.8957,5,0.75,0.54,0.5592,0.1941176470588281,0.1941176470588281,0.038823529411765624,0.038823529411765624,1.08,0.11184000000000001,0.1043,0.0,0.2916,14.715,15.0066,BEFORE
13,0.217,-4.8866,5,0.75,0.5433,0.5918,0.1941176470588219,0.1941176470588219,0.03882352941176438,0.03882352941176438,1.0867,0.11836,0.1134,0.0,0.2952,14.715,15.0102,BEFORE
14,0.233,-4.8775,5,0.75,0.5467,0.6245,0.21249999999999722,0.21249999999999722,0.04249999999999945,0.04249999999999945,1.0933,0.12490000000000001,0.1225,0.0,0.2988,14.715,15.0138,BEFORE
15,0.25,-4.8683,5,0.75,0.55,0.6571,0.19411764705882842,0.19411764705882842,0.038823529411765687,0.038823529411765687,1.1,0.13142,0.1317,0.0,0.3025,14.715,15.0175,BEFORE
16,0.267,-4.8591,5,0.75,0.5533,0.6898,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.1067,0.13796,0.1409,0.0,0.3062,14.715,15.0212,BEFORE
17,0.283,-4.8498,5,0.75,0.5567,0.7224,0.21249999999999797,0.21249999999999797,0.042499999999999594,0.042499999999999594,1.1133,0.14448000000000003,0.1502,0.0,0.3099,14.715,15.0249,BEFORE
18,0.3,-4.8405,5,0.75,0.56,0.7551,0.1941176470588281,0.1941176470588281,0.038823529411765624,0.038823529411765624,1.12,0.15102000000000002,0.1595,0.0,0.3136,14.715,15.0286,BEFORE
19,0.317,-4.8311,5,0.75,0.5633,0.7878,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.1267,0.15756,0.1689,0.0,0.3173,14.715,15.0323,BEFORE
20,0.333,-4.8217,5,0.75,0.5667,0.8204,0.21249999999999722,0.21249999999999722,0.04249999999999945,0.04249999999999945,1.1333,0.16408,0.1783,0.0,0.3211,14.715,15.0361,BEFORE
21,0.35,-4.8122,5,0.75,0.57,0.8531,0.1941176470588222,0.1941176470588222,0.038823529411764444,0.038823529411764444,1.14,0.17062,0.1878,0.0,0.3249,14.715,15.0399,BEFORE
22,0.367,-4.8026,5,0.75,0.5733,0.8857,0.1941176470588281,0.1941176470588281,0.038823529411765624,0.038823529411765624,1.1467,0.17714000000000002,0.1974,0.0,0.3287,14.715,15.0437,BEFORE
23,0.383,-4.793,5,0.75,0.5767,0.9184,0.21249999999999722,0.21249999999999722,0.04249999999999945,0.04249999999999945,1.1533,0.18368,0.207,0.0,0.3325,14.715,15.0475,BEFORE
24,0.4,-4.7833,5,0.75,0.58,0.951,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.16,0.1902,0.2167,0.0,0.3364,14.715,15.0514,BEFORE
25,0.417,-4.7736,5,0.75,0.5833,0.9837,0.19411764705882872,0.19411764705882872,0.03882352941176575,0.03882352941176575,1.1667,0.19674000000000003,0.2264,0.0,0.3403,14.715,15.0553,BEFORE
26,0.433,-4.7638,5,0.75,0.5867,1.0163,0.21249999999999722,0.21249999999999722,0.04249999999999945,0.04249999999999945,1.1733,0.20326,0.2362,0.0,0.3442,14.715,15.0592,BEFORE
